,Analysts,Ticker,Report,Quarters,Points,Points_Estimate,Estimate_rate,Accuracy
122,cms574,ORLY,Feb 9,1,9,9,0.5%,66%
123,cms574,DE,Feb 18,1,24,24,10.5%,54%
124,cms574,GOOGL,Feb 2,1,6,6,9.6%,46%
125,Analyst_9443238,BBY,Mar 2,1,25,25,3.0%,57%
126,Analyst_2299911,PYPL,Feb 2,4,-56,-14,7.2%,16%
127,zip159,FND,Feb 24,1,9,9,7.9%,65%
128,Analyst_76071,JNJ,Jan 25,10,28,2.8,1.8%,37%
129,Analyst_76071,UNH,Jan 18,10,217,21.7,1.7%,63%
130,Analyst_76071,ALK,Jan 27,9,-1,-0.1,11.4%,43%
131,Analyst_76071,ROST,Mar 1,8,247,30.9,1.2%,79%
132,Analyst_76071,NVDA,Feb 17,8,179,22.4,9.7%,77%
133,Analyst_76071,KDP,Mar 3,8,85,10.6,11.4%,38%
134,Analyst_76071,SWK,Jan 27,7,133,19,3.5%,70%
135,Analyst_76071,NOC,Jan 27,7,140,20,5.6%,68%
136,Analyst_76071,AMD,Feb 1,7,44,6.3,29.0%,49%
137,Analyst_76071,COST,Dec 9,7,98,14,3.2%,62%
138,Analyst_76071,HCA,Feb 1,7,88,12.6,3.2%,59%
139,Analyst_76071,DPZ,Feb 24,7,161,23,3.5%,73%
140,Analyst_76071,NFLX,Jan 18,6,19,3.2,16.5%,52%
141,Analyst_76071,SWBI,Mar 3,6,51,8.5,20.3%,40%
142,Analyst_76071,BKNG,Mar 2,6,136,22.7,2.7%,79%
143,Analyst_76071,XOM,Feb 1,6,42,7,11.3%,55%
144,Analyst_76071,NEE,Jan 28,6,9,1.5,6.0%,37%
145,Analyst_76071,A,Feb 15,6,135,22.5,4.2%,59%
146,Analyst_76071,ISRG,Jan 27,5,127,25.4,5.0%,91%
147,Analyst_76071,MU,Dec 20,4,93,23.3,2.8%,67%
148,Analyst_76071,AAPL,Feb 1,4,85,21.3,2.1%,77%
149,Analyst_76071,V,Feb 3,4,56,14,2.8%,60%
150,Analyst_76071,FB,Feb 2,4,71,17.8,5.6%,69%
151,Analyst_76071,CRM,Mar 1,4,107,26.8,9.6%,65%
152,Analyst_76071,MCD,Jan 24,3,49,16.3,2.4%,57%
153,Analyst_76071,EW,Feb 3,3,35,11.7,3.1%,63%
154,Analyst_76071,MA,Feb 3,3,65,21.7,1.6%,59%
155,Analyst_76071,TXN,Jan 26,3,58,19.3,1.4%,68%
156,Analyst_76071,BABA,Feb 2,3,-2,-0.7,10.9%,37%
157,Analyst_76071,NKE,Dec 20,3,56,18.7,2.8%,68%
158,robert brand,AXON,Mar 1,26,455,17.5,25.9%,70%
159,robert brand,TSLA,Feb 2,25,368,14.7,26.0%,62%
160,robert brand,CMG,Feb 8,25,285,11.4,8.1%,61%
161,robert brand,MCD,Jan 24,24,215,9,3.9%,54%
162,robert brand,RHI,Feb 1,23,179,7.8,3.5%,45%
163,robert brand,ADBE,Dec 16,23,640,27.8,1.7%,72%
164,robert brand,COST,Dec 9,22,306,13.9,4.4%,57%
165,robert brand,GLW,Feb 1,22,520,23.6,2.8%,71%
166,robert brand,INTC,Jan 26,21,384,18.3,6.3%,63%
167,robert brand,AMZN,Feb 3,21,366,17.1,22.6%,69%
168,robert brand,LULU,Dec 9,20,427,21.4,5.9%,68%
169,robert brand,TWTR,Feb 10,19,268,14.1,17.3%,62%
170,robert brand,AMAT,Feb 16,19,538,28.3,2.4%,67%
171,robert brand,SEDG,Feb 16,18,424,23.6,7.5%,63%
172,robert brand,PAYC,Feb 8,18,419,23.3,4.6%,69%
173,robert brand,TAP,Feb 24,18,233,12.9,14.1%,62%
174,robert brand,AYI,Jan 12,18,192,10.7,6.1%,61%
175,robert brand,THO,Mar 7,18,280,15.6,10.5%,68%
176,robert brand,SWKS,Jan 27,18,359,19.9,4.0%,65%
177,robert brand,NKE,Dec 20,18,310,17.2,9.8%,61%
178,robert brand,NFLX,Jan 18,17,291,17.1,8.6%,65%
179,robert brand,AMD,Feb 1,17,348,20.5,7.9%,70%
180,robert brand,ANET,Feb 17,17,456,26.8,3.3%,67%
181,robert brand,FSLR,Feb 24,17,100,5.9,42.9%,53%
182,robert brand,AZO,Mar 1,16,76,4.8,5.9%,54%
183,robert brand,AAP,Feb 22,16,177,10.7,8.5%,61%
184,robert brand,NVDA,Feb 17,16,308,19.3,9.3%,65%
185,robert brand,AVAV,Mar 8,16,209,13.1,24.4%,59%
186,robert brand,MU,Dec 20,15,339,22.6,3.5%,68%
187,robert brand,OLED,Feb 24,15,286,19.1,17.3%,65%
188,Analyst_2818898,FL,Feb 25,1,13,13,1.8%,72%
189,Analyst_9351012,LL,Mar 1,10,97,9.7,38.1%,54%
190,Analyst_5998654,PPC,Feb 9,1,4,4,45.7%,50%
191,Analyst_5998654,KBH,Jan 12,1,-7,-7,20.8%,29%
192,Analyst_5998654,TOL,Feb 22,1,26,26,8.5%,65%
193,Analyst_5998654,AAN,Feb 22,1,-8,-8,4.9%,48%
194,Analyst_5998654,GOLD,Feb 16,1,-10,-10,13.6%,38%
195,lect,TWTR,Feb 10,5,-13,-2.6,34.0%,34%
196,lect,LAD,Feb 16,4,21,5.3,11.9%,52%
197,lect,GOOGL,Feb 2,4,17,4.3,11.1%,41%
198,lect,QCOM,Feb 2,4,111,27.8,4.3%,58%
199,lect,EBAY,Feb 2,4,50,12.5,2.7%,47%
200,lect,NFLX,Jan 18,4,15,3.8,11.4%,52%
201,lect,MSFT,Jan 27,4,86,21.5,4.9%,58%
202,lect,IBM,Jan 24,4,43,10.8,4.6%,57%
203,lect,CMCSA,Jan 27,4,54,13.5,2.8%,59%
204,lect,ALV,Jan 28,4,-7,-1.8,10.7%,33%
205,lect,NOW,Jan 26,4,27,6.8,3.2%,44%
206,lect,BB,Dec 16,4,31,7.8,40.5%,60%
207,lect,TXN,Jan 26,4,77,19.3,4.0%,77%
208,lect,IAC,Feb 2,3,27,9,37.7%,33%
209,lect,ANET,Feb 17,3,43,14.3,2.3%,68%
210,lect,ZG,Feb 10,3,5,1.7,37.9%,42%
211,lect,RDWR,Feb 9,3,21,7,9.4%,47%
212,lect,FOXA,Feb 9,3,59,19.7,22.5%,54%
213,lect,LHX,Jan 27,3,67,22.3,2.7%,68%
214,lect,VIAC,Feb 17,3,-50,-16.7,14.4%,14%
215,lect,WWE,Feb 10,3,2,0.7,34.4%,30%
216,lect,HPQ,Feb 23,3,23,7.7,4.4%,39%
217,lect,ADM,Feb 8,3,14,4.7,13.7%,40%
218,lect,KO,Feb 9,3,24,8,10.0%,38%
219,lect,BWA,Feb 10,3,33,11,6.0%,45%
220,lect,DIS,Feb 8,3,11,3.7,10.9%,46%
221,lect,FFIV,Jan 26,3,9,3,2.2%,39%
222,lect,NWSA,Feb 10,3,-8,-2.7,27.9%,34%
223,lect,NYT,Feb 3,3,-42,-14,18.2%,14%
224,lect,MNRO,Feb 3,3,-19,-6.3,5.7%,24%
225,Buck_106696,UAA,Feb 15,12,8,0.7,35.3%,37%
226,Buck_106696,COLM,Feb 10,11,61,5.5,18.3%,24%
227,Buck_106696,VFC,Jan 27,11,-234,-20.3,21.3%,3%
228,Buck_106696,HBI,Feb 10,11,135,12.3,2.3%,52%
229,Buck_106696,GIII,Mar 24,11,55,5,19.7%,43%
230,Buck_106696,HIBB,Mar 11,11,-50,-4.5,23.0%,25%
231,Buck_106696,NKE,Dec 20,10,46,4.6,15.3%,29%
232,Buck_106696,RL,Feb 3,10,35,3.5,11.1%,36%
233,Buck_106696,DKS,Mar 8,9,96,10.7,8.9%,53%
234,Buck_106696,DECK,Feb 3,9,-18,-2,25.4%,20%
235,Buck_106696,WWW,Feb 23,8,-67,-8.4,6.4%,19%
236,Buck_106696,SKX,Feb 10,8,39,4.9,9.0%,54%
237,Buck_106696,FL,Feb 25,8,-24,-3,8.1%,32%
238,Buck_106696,LULU,Dec 9,7,-116,-16.6,8.8%,17%
239,Buck_106696,PVH,Mar 30,7,-30,-4.3,25.9%,22%
240,Buck_106696,BURL,Mar 3,5,-55,-11,9.7%,16%
241,Buck_106696,ROST,Mar 1,5,-29,-5.8,5.0%,41%
242,Buck_106696,TPR,Feb 10,5,25,5,6.0%,37%
243,Buck_106696,SHOO,Mar 1,4,4,1,5.1%,25%
244,Buck_106696,CPRI,Feb 9,4,8,2,9.4%,50%
245,Buck_106696,TJX,Mar 2,1,-12,-12,11.7%,28%
246,Analyst_6593974,DISH,Feb 23,1,-8,-8,7.7%,27%
247,Analyst_6593974,BBWI,Feb 23,1,-4,-4,1.4%,68%
248,Analyst_6593974,LOW,Feb 23,1,31,31,0.8%,76%
249,Analyst_6593974,TGT,Mar 8,1,41,41,0.4%,80%
250,Analyst_6593974,HCA,Feb 1,1,17,17,7.4%,91%
251,Analyst_6593974,FDX,Dec 16,1,-4,-4,2.6%,65%
252,Analyst_6593974,AMD,Feb 1,1,-18,-18,25.7%,27%
253,Analyst_6593974,CRM,Mar 1,1,3,3,7.3%,37%
254,Analyst_6593974,DBX,Feb 24,1,29,29,3.3%,66%
255,Analyst_6593974,DOCU,Mar 17,1,17,17,17.9%,48%
256,Analyst_6593974,ENPH,Mar 1,1,29,29,5.7%,61%
257,Analyst_6593974,ZM,Mar 9,1,17,17,26.3%,45%
258,SW928706,WGO,Dec 17,20,-40,-2,14.7%,26%
259,SW928706,THO,Mar 7,19,7,0.4,15.8%,33%
260,SW928706,PII,Feb 1,17,-97,-5.7,8.3%,22%
261,SW928706,HZO,Jan 26,16,-25,-1.6,28.8%,19%
262,SW928706,HOG,Feb 1,13,87,6.7,9.1%,53%
263,SW928706,CWH,Mar 10,8,-38,-4.5,29.3%,27%
264,SW928706,BC,Jan 27,6,24,4,9.7%,37%
265,SW928706,ORLY,Feb 9,4,-35,-8.8,4.5%,33%
266,SW928706,AAP,Feb 22,4,15,3.8,7.1%,39%
267,SW928706,AZO,Mar 1,3,26,8.7,6.0%,59%
268,Analyst_3020600,TSLA,Feb 2,5,80,16,21.5%,61%
269,Analyst_3020600,HD,Feb 22,4,-22,-5.5,10.7%,30%
270,mattstockpicker,BBWI,Feb 23,2,-38,-19,40.3%,8%
271,mattstockpicker,BIDU,Feb 24,1,-11,-11,30.6%,20%
272,mattstockpicker,STLD,Jan 24,1,31,31,4.7%,70%
273,mattstockpicker,AXP,Jan 20,1,32,32,52.1%,72%
274,mattstockpicker,EVR,Feb 2,1,2,2,28.7%,35%
275,mattstockpicker,JNJ,Jan 25,1,20,20,0.4%,79%
276,mattstockpicker,AAPL,Feb 1,1,19,19,6.0%,55%
277,mattstockpicker,GOOGL,Feb 2,1,4,4,9.6%,34%
278,mattstockpicker,IBM,Jan 24,1,-5,-5,0.7%,55%
279,mattstockpicker,ADSK,Mar 3,1,-5,-5,2.5%,18%
280,mattstockpicker,LULU,Dec 9,1,-11,-11,4.3%,34%
281,mattstockpicker,ORCL,Dec 9,1,6,6,1.3%,46%
282,Stephanie Wissink,PBH,Feb 3,14,71,5.1,4.1%,42%
283,Stephanie Wissink,IPAR,Mar 14,14,-229,-16.4,22.5%,17%
284,Stephanie Wissink,COTY,Feb 10,13,-49,-3.8,25.2%,26%
285,Stephanie Wissink,SBH,Feb 3,13,40,3.1,12.5%,43%
286,Stephanie Wissink,MAT,Feb 2,11,224,20.4,30.2%,71%
287,Stephanie Wissink,RGS,Feb 3,11,-31,-2.7,44.6%,26%
288,Stephanie Wissink,JAKK,Feb 24,11,-48,-4.5,31.4%,24%
289,Stephanie Wissink,HAS,Feb 7,11,58,5.3,23.9%,42%
290,Stephanie Wissink,BBW,Feb 17,9,-42,-4.7,36.0%,25%
291,Stephanie Wissink,EL,Feb 3,7,-76,-10.1,23.4%,9%
292,Stephanie Wissink,NUS,Feb 17,7,-83,-11.9,13.4%,11%
293,Stephanie Wissink,ULTA,Mar 10,5,-175,-35,33.9%,0%
294,Stephanie Wissink,GME,Mar 24,3,-23,-6.6,62.3%,17%
295,Analyst_4229857,NFLX,Jan 18,6,59,9.8,8.8%,63%
296,Analyst_4229857,CNC,Feb 8,4,-6,-1.5,6.6%,31%
297,Analyst_4229857,BBBY,Jan 6,4,55,13.8,5.0%,62%
298,Analyst_4229857,HUBS,Feb 15,4,-29,-7.3,46.8%,8%
299,Analyst_4229857,XLNX,Jan 26,4,52,13,3.3%,44%
300,Analyst_4229857,NXPI,Feb 2,4,-100,-25,12.4%,11%
301,Analyst_4229857,CR,Jan 31,4,51,12.8,3.2%,51%
302,Analyst_4229857,TRU,Feb 15,4,-11,-2.8,7.5%,15%
303,Analyst_4229857,UAA,Feb 15,4,-62,-15.5,35.2%,12%
304,Analyst_4229857,V,Feb 3,4,115,28.8,2.8%,80%
305,Analyst_4229857,PG,Jan 25,4,35,8.8,2.1%,46%
306,Analyst_4229857,CIEN,Dec 9,3,25,8.3,3.1%,65%
307,Analyst_4229857,MU,Dec 20,3,92,30.7,20.5%,67%
308,Analyst_4229857,KR,Mar 3,3,41,13.7,1.9%,59%
309,Analyst_4229857,DRI,Dec 17,3,18,6,2.2%,46%
310,Analyst_4229857,PANW,Mar 1,3,30,10,6.9%,46%
311,Analyst_4229857,BOX,Mar 2,3,38,12.7,14.1%,37%
312,Analyst_4229857,VEEV,Mar 1,2,0,0,7.4%,25%
313,Analyst_4229857,RGP,Jan 5,2,13,6.5,17.4%,47%
314,Analyst_4229857,EXAS,Feb 24,2,34,17,5.6%,57%
315,Analyst_4229857,WW,Mar 1,2,6,3,9.4%,54%
316,Analyst_4229857,FUL,Jan 26,2,13,6.5,5.0%,37%
317,Analyst_4229857,LULU,Dec 9,2,-24,-12,12.2%,30%
318,Analyst_4229857,BKNG,Mar 2,2,0,0,5.1%,49%
319,Analyst_4229857,MG,Mar 14,2,2,1,13.4%,61%
320,Analyst_4229857,SCHN,Jan 6,2,22,11,36.9%,43%
321,Analyst_4229857,SCS,Dec 16,2,8,4,2.5%,68%
322,Analyst_4229857,TOL,Feb 22,2,-16,-8,11.2%,33%
323,Analyst_4229857,RH,Mar 29,2,41,20.5,10.4%,56%
324,Analyst_4229857,CONN,Mar 29,2,43,21.5,29.3%,52%
325,Analyst_2206610,DKS,Mar 8,3,52,17.3,6.2%,49%
326,Analyst_2206610,TXRH,Feb 22,2,-28,-14,23.6%,21%
327,Analyst_2206610,LOW,Feb 23,2,-1,-0.5,3.9%,50%
328,Analyst_2206610,SHAK,Feb 28,2,49,24.5,4.7%,52%
329,Analyst_2206610,SFM,Feb 24,2,3,1.5,5.7%,69%
330,Analyst_2206610,ANF,Mar 2,1,42,42,0.2%,89%
331,Analyst_2206610,AAP,Feb 22,1,23,23,6.0%,66%
332,Analyst_2206610,ORLY,Feb 9,1,20,20,2.0%,55%
333,Analyst_2206610,TJX,Mar 2,1,21,21,11.0%,68%
334,Analyst_2206610,FL,Feb 25,1,23,23,6.6%,78%
335,Analyst_2206610,GPS,Mar 3,1,7,7,5.8%,44%
336,Analyst_2206610,FIVE,Mar 23,1,27,27,36.9%,78%
337,Analyst_2206610,AMZN,Feb 3,1,-8,-8,22.1%,33%
338,Analyst_2206610,KSS,Feb 24,1,-6,-6,10.0%,55%
339,Analyst_2206610,BIG,Mar 4,1,22,22,12.1%,56%
340,Analyst_2206610,BURL,Mar 3,1,7,7,4.5%,57%
341,Analyst_2206610,ALK,Jan 27,1,44,44,0.7%,73%
342,Analyst_2206610,LUV,Jan 27,1,21,21,1.6%,67%
343,Analyst_2206610,CAR,Feb 23,1,-9,-9,53.6%,5%
344,Analyst_2206610,PBPB,Feb 15,1,7,7,50.3%,41%
345,Analyst_2206610,FLWS,Feb 3,1,-14,-14,30.1%,27%
346,Analyst_2206610,WW,Mar 1,1,23,23,4.9%,66%
347,Analyst_2206610,CMG,Feb 8,1,21,21,4.4%,70%
348,Analyst_2206610,NDLS,Feb 24,1,2,2,52.4%,32%
349,Analyst_2206610,LOCO,Mar 10,1,-9,-9,8.5%,36%
350,zimmerm66,INTC,Jan 26,2,-20,-10,15.4%,23%
351,zimmerm66,AVNT,Feb 1,1,14,14,14.4%,55%
352,zimmerm66,SHW,Jan 27,1,36,36,0.8%,94%
353,zimmerm66,COST,Dec 9,1,-6,-6,1.9%,57%
354,zimmerm66,WDFC,Jan 12,1,6,6,17.0%,36%
355,zimmerm66,SKX,Feb 10,1,1,1,29.6%,29%
356,zimmerm66,LULU,Dec 9,1,-14,-14,5.2%,22%
357,zimmerm66,TSLA,Feb 2,1,15,15,8.8%,66%
358,zimmerm66,LVS,Jan 26,1,-5,-5,51.3%,62%
359,zimmerm66,BBWI,Feb 23,1,39,39,0.4%,84%
360,zimmerm66,LL,Mar 1,1,20,20,26.1%,58%
361,zimmerm66,BBBY,Jan 6,1,12,12,51.0%,75%
362,zimmerm66,GME,Mar 24,1,3,3,63.1%,21%
363,zimmerm66,APA,Feb 24,1,37,37,7.3%,74%
364,zimmerm66,HON,Jan 28,1,8,8,1.6%,54%
365,zimmerm66,NDSN,Dec 15,1,-11,-11,18.7%,20%
366,zimmerm66,CAT,Jan 27,1,11,11,7.4%,59%
367,zimmerm66,GGG,Jan 31,1,19,19,4.2%,84%
368,zimmerm66,UAL,Jan 18,1,-2,-2,4.4%,71%
369,zimmerm66,URI,Jan 26,1,-15,-15,4.3%,9%
370,zimmerm66,CSX,Jan 18,1,-6,-6,2.7%,55%
371,zimmerm66,MRTN,Jan 27,1,-12,-12,2.2%,20%
372,zimmerm66,DDD,Mar 2,1,37,37,1.1%,76%
373,zimmerm66,WDC,Jan 27,1,12,12,4.4%,64%
374,zimmerm66,SNX,Jan 11,1,-2,-2,21.5%,3%
375,zimmerm66,FLEX,Jan 27,1,-10,-10,13.7%,2%
376,zimmerm66,ETSY,Mar 1,1,-9,-9,23.0%,25%
377,zimmerm66,STNE,Mar 9,1,30,30,23.2%,74%
378,zimmerm66,LYB,Feb 4,1,36,36,7.4%,90%
379,zimmerm66,AVGO,Dec 9,1,-2,-2,0.5%,64%
380,Mark Connollly,FB,Feb 2,14,339,24.2,5.0%,72%
381,Mark Connollly,AAPL,Feb 1,13,274,21.1,2.1%,68%
382,Mark Connollly,REGN,Feb 10,13,178,13.7,7.4%,61%
383,Mark Connollly,AVGO,Dec 9,13,300,23.1,1.3%,71%
384,Mark Connollly,ILMN,Feb 1,13,265,20.4,5.7%,70%
385,Mark Connollly,GILD,Feb 8,13,205,15.8,6.3%,59%
386,Mark Connollly,AMGN,Feb 3,13,224,17.2,3.5%,62%
387,Mark Connollly,CTSH,Feb 9,13,135,10.4,1.5%,58%
388,Mark Connollly,PANW,Mar 1,12,224,18.7,4.1%,59%
389,Mark Connollly,V,Feb 3,12,235,19.6,2.4%,65%
390,Mark Connollly,VMW,Feb 24,12,288,24,2.3%,70%
391,Mark Connollly,CRM,Mar 1,12,350,29.2,2.6%,70%
392,Mark Connollly,BIIB,Jan 27,12,227,18.9,4.2%,65%
393,Mark Connollly,ADBE,Dec 16,11,308,28,1.9%,77%
394,Mark Connollly,NXPI,Feb 2,11,105,9.5,3.8%,60%
395,Mark Connollly,GOOGL,Feb 2,11,213,19.4,4.9%,60%
396,Mark Connollly,MU,Dec 20,11,217,19.7,6.5%,66%
397,Mark Connollly,SWKS,Jan 27,11,239,21.7,0.9%,69%
398,Mark Connollly,KMX,Dec 22,11,146,13.3,3.5%,57%
399,Mark Connollly,QCOM,Feb 2,11,219,19.9,5.4%,67%
400,Mark Connollly,NFLX,Jan 18,11,177,16.1,7.4%,64%
