,Analysts,Ticker,Report,Quarters,Points,Points_Estimate,Estimate_rate,Accuracy
788,Analyst_4542500,DIS,Feb 8,1,9,9,3.0%,58%
789,Analyst_4542500,YUM,Feb 10,1,9,9,4.6%,34%
790,Analyst_4542500,ABG,Feb 8,1,35,35,3.0%,75%
791,Analyst_4542500,AMZN,Feb 3,1,17,17,19.7%,38%
792,Analyst_4542500,AMG,Jan 31,1,-4,-4,18.2%,7%
793,Analyst_384218,HD,Feb 22,3,-66,-18.9,7.4%,3%
794,Analyst_14616,JD,Mar 3,2,60,30,39.2%,63%
795,Analyst_14616,BBY,Mar 2,1,-13,-13,5.4%,7%
796,Rick Weinhart,GPC,Feb 22,12,13,1.1,6.8%,42%
797,Rick Weinhart,ANF,Mar 2,10,116,11.6,24.1%,66%
798,Rick Weinhart,PLCE,Mar 8,10,46,4.6,12.1%,48%
799,Rick Weinhart,URBN,Mar 8,9,139,15.4,16.0%,68%
800,Rick Weinhart,ZUMZ,Mar 10,8,138,17.3,13.9%,56%
801,Rick Weinhart,AEO,Mar 2,6,66,11,5.1%,49%
802,Rick Weinhart,BKE,Mar 11,5,54,10.8,20.2%,55%
803,Rick Weinhart,TLYS,Mar 14,4,-21,-5.3,25.6%,23%
804,Rick Weinhart,BBY,Mar 2,3,59,19.7,4.2%,90%
805,Rick Weinhart,GPS,Mar 3,3,-45,-12.9,36.9%,5%
806,Analyst_4903215,ALSN,Feb 7,6,0,0,19.2%,16%
807,Analyst_4903215,AMD,Feb 1,5,160,32,2.7%,76%
808,Analyst_4903215,FB,Feb 2,4,114,28.5,3.7%,72%
809,Analyst_4903215,MSFT,Jan 27,4,64,16,3.8%,62%
810,Analyst_4903215,HZO,Jan 26,4,44,11,24.0%,37%
811,Analyst_4903215,BBBY,Jan 6,4,64,16,8.1%,46%
812,Analyst_4903215,WHR,Jan 26,4,-19,-4.8,5.4%,25%
813,Analyst_4903215,INTC,Jan 26,3,41,13.7,7.6%,57%
814,Analyst_4903215,KBH,Jan 12,3,55,18.3,5.1%,70%
815,Analyst_4903215,QCOM,Feb 2,3,83,27.7,4.6%,71%
816,Analyst_4903215,X,Feb 2,3,3,1,34.6%,41%
817,Analyst_4903215,BBY,Mar 2,3,56,18.7,4.1%,79%
818,Analyst_4903215,CRM,Mar 1,3,70,23.3,1.8%,64%
819,Analyst_4903215,AA,Jan 19,2,61,30.5,7.6%,74%
820,Analyst_4903215,RCL,Feb 2,2,31,15.5,3.7%,64%
821,Analyst_4903215,TTWO,Feb 9,2,61,30.5,10.1%,74%
822,Analyst_4903215,V,Feb 3,2,-2,-1,2.6%,32%
823,Analyst_4903215,GOOGL,Feb 2,2,25,12.5,10.8%,62%
824,Analyst_4903215,RDFN,Feb 24,2,0,0,30.6%,58%
825,Analyst_4903215,PVH,Mar 30,2,45,22.5,1.7%,51%
826,Analyst_4903215,CSCO,Feb 16,2,35,17.5,2.7%,57%
827,Analyst_4903215,LEN,Dec 15,2,26,13,10.6%,53%
828,Analyst_4903215,HPQ,Feb 23,2,-1,-0.5,3.0%,35%
829,Analyst_4903215,SNX,Jan 11,2,51,25.5,21.0%,70%
830,Analyst_4903215,DE,Feb 18,2,8,4,10.4%,57%
831,Analyst_4903215,MU,Dec 20,2,11,5.5,4.8%,59%
832,Analyst_4903215,TGT,Mar 8,2,15,7.5,3.4%,60%
833,Analyst_4903215,DAL,Jan 18,2,59,29.5,1.0%,81%
834,Analyst_4903215,LULU,Dec 9,1,34,34,2.3%,73%
835,Analyst_4903215,SWBI,Mar 3,1,22,22,50.0%,67%
836,Earnings AI,DAR,Mar 1,4,-50,-12.5,35.1%,20%
837,Earnings AI,MOD,Feb 1,4,-15,-3.8,26.3%,35%
838,Earnings AI,DIS,Feb 8,4,21,5.3,12.6%,40%
839,Earnings AI,ODP,Feb 23,4,54,13.5,6.2%,46%
840,Earnings AI,CAL,Mar 15,4,9,2.3,13.3%,34%
841,Earnings AI,GME,Mar 24,4,-13,-3.3,43.0%,31%
842,Earnings AI,BKNG,Mar 2,4,-12,-3,3.1%,43%
843,Earnings AI,MCK,Feb 3,4,41,10.3,3.1%,57%
844,Earnings AI,MTW,Feb 10,4,21,5.3,29.4%,25%
845,Earnings AI,CWEN,Mar 3,4,74,18.5,49.7%,69%
846,Earnings AI,EMKR,Feb 8,4,-32,-8,49.7%,24%
847,Earnings AI,ZUO,Mar 24,4,19,4.8,12.1%,50%
848,Analyst_3715541,IBM,Jan 24,9,73,8.1,3.1%,59%
849,Analyst_3715541,URI,Jan 26,7,48,6.9,8.2%,35%
850,Analyst_3715541,LRCX,Jan 26,7,105,15,4.7%,54%
851,Analyst_3715541,ALGN,Feb 3,7,71,10.1,18.8%,53%
852,Analyst_3715541,COO,Mar 3,7,103,14.7,4.6%,63%
853,Analyst_3715541,SPLK,Mar 3,6,15,2.5,16.9%,42%
854,Analyst_3715541,DECK,Feb 3,6,89,14.8,19.8%,38%
855,Analyst_3715541,ADSK,Mar 3,6,103,17.2,5.4%,55%
856,Analyst_3715541,CRM,Mar 1,6,90,15,15.2%,40%
857,Analyst_3715541,PANW,Mar 1,6,85,14.2,5.1%,48%
858,Analyst_3715541,AVGO,Dec 9,5,111,22.2,1.2%,63%
859,Analyst_3715541,AKAM,Feb 15,5,35,7,4.0%,50%
860,Analyst_3715541,AMZN,Feb 3,5,79,15.8,18.2%,60%
861,Analyst_3715541,PYPL,Feb 2,5,34,6.8,5.2%,43%
862,Analyst_3715541,MA,Feb 3,5,116,23.2,4.8%,53%
863,Analyst_3715541,ICUI,Mar 3,5,56,11.2,12.9%,26%
864,Analyst_3715541,ILMN,Feb 1,5,67,13.4,11.8%,41%
865,Analyst_3715541,IRBT,Feb 9,5,11,2.2,38.6%,35%
866,Analyst_3715541,COUP,Mar 14,5,44,8.8,51.2%,23%
867,Analyst_3715541,SWKS,Jan 27,4,63,15.8,2.8%,58%
868,Analyst_3715541,EL,Feb 3,4,19,4.8,6.3%,39%
869,Analyst_3715541,AMGN,Feb 3,4,54,13.5,5.3%,45%
870,Analyst_3715541,AAP,Feb 22,4,30,7.5,4.4%,53%
871,Analyst_3715541,GRUB,Dec 10,4,71,17.8,13.7%,64%
872,Analyst_3715541,BIDU,Feb 24,4,82,20.5,14.6%,55%
873,Analyst_3715541,LOW,Feb 23,4,22,5.5,7.7%,50%
874,Analyst_3715541,HD,Feb 22,4,53,13.3,6.5%,61%
875,Analyst_3715541,DLTR,Mar 2,4,46,11.5,2.2%,68%
876,Analyst_3715541,MCD,Jan 24,4,108,27,2.7%,59%
877,Analyst_3715541,ULTA,Mar 10,4,-7,-1.8,13.8%,58%
878,Analyst_5929172,STRA,Mar 4,1,2,2,6.0%,37%
879,Analyst_5929172,WW,Mar 1,1,8,8,6.4%,60%
880,Analyst_5929172,BBY,Mar 2,1,-6,-6,3.6%,46%
881,Analyst_5929172,M,Feb 22,1,-18,-18,5.8%,18%
882,Analyst_5929172,DXCM,Feb 23,1,33,33,24.0%,87%
883,Analyst_5929172,PANW,Mar 1,1,16,16,11.0%,38%
884,Analyst_5929172,ANET,Feb 17,1,-14,-14,5.8%,25%
885,Analyst_5929172,NVDA,Feb 17,1,17,17,10.9%,74%
886,Analyst_5929172,PLNT,Mar 1,1,16,16,3.1%,53%
887,Analyst_5929172,TTD,Feb 17,1,22,22,12.7%,77%
888,Ralf Koenigs,HIBB,Mar 11,1,8,8,11.1%,66%
889,Ralf Koenigs,WSM,Mar 16,1,-27,-27,5.7%,8%
890,Ralf Koenigs,KSS,Feb 24,1,16,16,1.5%,72%
891,Ralf Koenigs,M,Feb 22,1,-9,-9,6.1%,39%
892,Ralf Koenigs,CIEN,Dec 9,1,17,17,2.2%,83%
893,Analyst_783524,AVGO,Dec 9,3,65,21.7,1.5%,67%
894,Analyst_783524,WMT,Feb 17,3,-18,-6,6.2%,17%
895,Analyst_783524,DPZ,Feb 24,3,70,23.3,7.7%,68%
896,Analyst_783524,NKE,Dec 20,3,-9,-3,28.2%,46%
897,Analyst_783524,PVH,Mar 30,3,20,6.7,38.9%,54%
898,Analyst_783524,VRNT,Mar 30,3,10,3.3,14.0%,67%
899,Analyst_783524,AMBA,Mar 3,3,80,26.7,25.7%,69%
900,Analyst_783524,ZM,Mar 9,3,62,20.7,28.3%,62%
901,Analyst_783524,DKS,Mar 8,2,56,28,11.7%,82%
902,Analyst_783524,TXRH,Feb 22,2,16,8,29.6%,55%
903,Analyst_783524,HD,Feb 22,2,50,25,2.6%,76%
904,Analyst_783524,ROST,Mar 1,2,41,20.5,27.5%,71%
905,Analyst_783524,WSM,Mar 16,2,56,28,5.5%,77%
906,Analyst_783524,FL,Feb 25,2,46,23,19.9%,79%
907,Analyst_783524,FIVE,Mar 23,2,12,6,30.8%,59%
908,Analyst_783524,GIS,Dec 21,2,-11,-5.5,3.3%,59%
909,Analyst_783524,CRI,Feb 24,2,2,1,27.1%,49%
910,Analyst_783524,LULU,Dec 9,2,71,35.5,4.3%,78%
911,Analyst_783524,KBH,Jan 12,2,9,4.5,17.5%,51%
912,Analyst_783524,COST,Dec 9,2,25,12.5,7.4%,38%
913,Analyst_783524,THO,Mar 7,2,22,11,37.6%,47%
914,Analyst_783524,STRA,Mar 4,2,43,21.5,2.3%,61%
915,Analyst_783524,HAS,Feb 7,2,9,4.5,13.0%,67%
916,Analyst_783524,CBRL,Feb 22,2,38,19,22.5%,69%
917,Analyst_783524,TSN,Feb 10,2,-19,-9.5,18.3%,26%
918,Analyst_783524,KDP,Mar 3,2,27,13.5,3.1%,42%
919,Analyst_783524,CPB,Feb 18,2,-44,-22,11.8%,5%
920,Analyst_783524,URBN,Mar 8,2,35,17.5,25.6%,84%
921,Analyst_783524,STZ,Jan 6,2,37,18.5,10.1%,40%
922,Analyst_783524,MLM,Feb 15,2,-17,-8.5,15.1%,39%
923,Analyst_8886337,GPS,Mar 3,1,-7,-7,17.0%,42%
924,Buck_138258,LAD,Feb 16,9,-4,-0.4,12.0%,41%
925,Buck_138258,AN,Feb 4,8,105,13.1,13.0%,56%
926,Buck_138258,PAG,Feb 10,8,-3,-0.4,22.8%,40%
927,Buck_138258,GPI,Feb 10,8,53,6.6,16.2%,47%
928,Buck_138258,SUP,Mar 4,8,76,9.5,61.8%,58%
929,Buck_138258,KMX,Dec 22,7,59,8.4,7.1%,41%
930,Buck_138258,APTV,Feb 3,7,128,17.1,17.8%,57%
931,Buck_138258,THRM,Feb 22,7,59,7.9,27.8%,46%
932,Buck_138258,ALV,Jan 28,7,-16,-2.1,25.4%,34%
933,Buck_138258,SAH,Feb 22,6,18,3,24.8%,44%
934,Buck_138258,ABG,Feb 8,6,-19,-3.2,9.1%,10%
935,Buck_138258,DAN,Feb 17,5,37,6.7,8.9%,41%
936,Buck_138258,GNTX,Jan 28,5,122,22.2,1.9%,70%
937,Buck_138258,BWA,Feb 10,5,31,5.6,7.6%,38%
938,Buck_138258,AXL,Feb 11,5,45,8.2,42.3%,62%
939,Buck_138258,SRI,Mar 2,3,34,9.7,11.8%,44%
940,Buck_138258,LEA,Jan 27,0,-6,-12,28.8%,31%
941,Buck_138258,GM,Feb 1,0,-2,-4,100.0%,59%
942,Buck_138258,F,Jan 27,0,20,40,16.7%,91%
943,Rick Patel,OXM,Mar 24,18,15,0.8,29.1%,41%
944,Rick Patel,RL,Feb 3,17,5,0.3,18.7%,32%
945,Rick Patel,UAA,Feb 15,16,22,1.3,36.9%,18%
946,Rick Patel,LULU,Dec 9,16,52,3.3,15.8%,30%
947,Rick Patel,NKE,Dec 20,16,166,10.1,15.1%,43%
948,Rick Patel,TPR,Feb 10,15,39,2.5,18.4%,41%
949,Rick Patel,CPRI,Feb 9,15,20,1.3,27.0%,40%
950,Rick Patel,SIG,Mar 17,13,122,9.4,28.3%,51%
951,Rick Patel,GIII,Mar 24,12,89,7.1,24.0%,51%
952,Rick Patel,COLM,Feb 10,11,75,6.5,30.8%,31%
953,Rick Patel,CAL,Mar 15,11,-94,-8.2,37.6%,30%
954,Rick Patel,DBI,Mar 15,9,-198,-22,66.6%,8%
955,Analyst_4890225,FL,Feb 25,1,38,38,0.8%,80%
956,bdolphin,SQ,Mar 2,2,44,22,3.7%,62%
957,bdolphin,AMD,Feb 1,2,47,23.5,3.4%,73%
958,bdolphin,NVTA,Feb 14,2,8,4,14.5%,50%
959,bdolphin,TSLA,Feb 2,2,5,2.5,41.2%,65%
960,bdolphin,SNAP,Feb 8,2,61,30.5,7.1%,76%
961,bdolphin,TGT,Mar 8,1,-5,-5,1.3%,62%
962,bdolphin,CVX,Jan 28,1,11,11,7.1%,54%
963,bdolphin,BAC,Jan 18,1,1,1,3.4%,29%
964,bdolphin,ILMN,Feb 1,1,24,24,6.5%,61%
965,bdolphin,XPO,Feb 23,1,13,13,6.9%,53%
966,bdolphin,LULU,Dec 9,1,25,25,3.3%,60%
967,bdolphin,TWTR,Feb 10,1,34,34,25.7%,68%
968,bdolphin,TER,Jan 26,1,32,32,3.4%,81%
969,bdolphin,ATVI,Feb 10,1,-10,-10,24.6%,39%
970,bdolphin,CRM,Mar 1,1,-12,-12,3.5%,30%
971,bdolphin,OMER,Mar 3,1,-10,-10,53.0%,41%
972,bdolphin,NTNX,Mar 3,1,22,22,4.3%,70%
973,bdolphin,SSYS,Mar 2,1,-7,-7,9.9%,44%
974,bdolphin,BBY,Mar 2,1,17,17,1.2%,77%
975,bdolphin,AMZN,Feb 3,1,-6,-6,18.3%,42%
976,bdolphin,NFLX,Jan 18,1,33,33,10.6%,71%
977,bdolphin,JD,Mar 3,1,22,22,50.8%,51%
978,Aragorn63,AMD,Feb 1,22,326,14.8,17.4%,66%
979,Aragorn63,CRNT,Feb 14,13,11,0.8,20.7%,44%
980,Aragorn63,ZNGA,Feb 9,12,220,18.3,40.0%,66%
981,Aragorn63,LL,Mar 1,8,88,11,30.4%,58%
982,Aragorn63,DHT,Feb 9,8,71,8.9,26.7%,51%
983,Aragorn63,RAD,Dec 21,7,40,5.7,47.7%,44%
984,Aragorn63,NTGR,Feb 8,7,42,6,16.8%,37%
985,Aragorn63,TNK,Feb 24,7,91,13,23.2%,59%
986,Aragorn63,CLNE,Mar 15,6,-15,-2.5,26.5%,62%
987,Aragorn63,NVDA,Feb 17,3,42,14,10.5%,52%
988,Aragorn63,QCOM,Feb 2,1,15,15,5.5%,30%
989,Aragorn63,ODP,Feb 23,1,-7,-7,50.1%,41%
990,Aragorn63,ETSY,Mar 1,1,7,7,50.7%,40%
991,Analyst_7545489,QSR,Feb 14,1,24,24,0.8%,60%
992,Analyst_7545489,UAA,Feb 15,1,20,20,22.7%,49%
993,Analyst_7545489,HD,Feb 22,1,5,5,1.9%,51%
994,Analyst_7545489,BBY,Mar 2,1,33,33,2.6%,64%
995,Analyst_7545489,GE,Jan 27,1,8,8,7.7%,59%
996,Analyst_7545489,FB,Feb 2,1,17,17,5.8%,45%
997,Analyst_7545489,TWTR,Feb 10,1,20,20,9.9%,55%
998,Analyst_7545489,INTC,Jan 26,1,8,8,3.2%,58%
999,Analyst_7545489,NVDA,Feb 17,1,16,16,12.5%,73%
1000,Analyst_7545489,MA,Feb 3,1,14,14,0.9%,67%
1001,Analyst_7545489,V,Feb 3,1,14,14,2.4%,31%
1002,Analyst_7545489,MSFT,Jan 27,1,24,24,0.1%,81%
1003,Analyst_7545489,EA,Feb 1,1,-3,-3,5.6%,66%
1004,Analyst_7545489,KO,Feb 9,1,-3,-3,1.3%,74%
1005,Analyst_7545489,PYPL,Feb 2,0,-1,-2,0.4%,75%
1006,Analyst_6421915,ETSY,Mar 1,4,-59,-14.8,23.1%,15%
1007,Analyst_6421915,UAA,Feb 15,3,-26,-8.7,41.5%,9%
1008,Analyst_6421915,SFIX,Mar 14,3,-57,-19,42.4%,2%
1009,Analyst_6421915,AAP,Feb 22,2,-3,-1.5,3.3%,28%
1010,Analyst_6421915,SIX,Feb 23,2,14,7,21.6%,42%
1011,Analyst_6421915,BBY,Mar 2,2,-19,-9.5,7.7%,23%
1012,Analyst_6421915,BBBY,Jan 6,2,31,15.5,7.4%,59%
1013,Analyst_6421915,W,Feb 24,2,-41,-20.5,14.3%,12%
1014,Analyst_6421915,ORLY,Feb 9,2,-22,-11,5.3%,20%
1015,Analyst_6421915,WW,Mar 1,1,9,9,5.4%,67%
1016,Analyst_6421915,PRDO,Feb 23,1,-3,-3,7.5%,13%
1017,Analyst_6421915,IMAX,Feb 24,1,-12,-12,11.8%,20%
1018,Analyst_6421915,RGR,Feb 23,1,7,7,9.9%,47%
1019,Analyst_6421915,H,Feb 16,1,15,15,33.2%,32%
1020,Analyst_6421915,PENN,Feb 3,1,-3,-3,4.6%,80%
1021,Analyst_6421915,TXRH,Feb 22,1,39,39,0.4%,88%
1022,Analyst_6421915,CAKE,Feb 23,1,30,30,1.2%,86%
1023,Analyst_6421915,WEN,Feb 24,1,-23,-23,6.8%,6%
1024,Analyst_6421915,MTN,Dec 9,1,17,17,2.8%,47%
1025,Analyst_6421915,BJRI,Feb 24,1,-11,-11,2.0%,38%
1026,Analyst_6421915,BYD,Feb 15,1,-3,-3,2.9%,66%
1027,Analyst_6421915,CMG,Feb 8,1,-28,-28,13.7%,1%
1028,Analyst_6421915,DENN,Feb 15,1,-17,-17,16.5%,11%
1029,Analyst_6421915,BLMN,Feb 17,1,29,29,1.8%,76%
1030,Analyst_6421915,AN,Feb 4,1,11,11,5.6%,68%
1031,Analyst_6421915,AZO,Mar 1,1,-4,-4,7.4%,17%
1032,Analyst_6421915,HD,Feb 22,1,-2,-2,2.1%,22%
1033,Analyst_6421915,WSM,Mar 16,1,-13,-13,6.0%,18%
1034,Analyst_6421915,GES,Mar 23,1,-8,-8,5.8%,46%
1035,Analyst_6421915,GME,Mar 24,1,-5,-5,4.9%,44%
1036,Analyst_5539859,FB,Feb 2,9,150,16.7,5.3%,69%
1037,Analyst_5539859,V,Feb 3,7,104,14.9,2.5%,49%
1038,Analyst_5539859,MRVL,Mar 10,7,60,8.6,7.3%,41%
1039,Analyst_5539859,TWTR,Feb 10,5,32,6.4,20.1%,41%
1040,Analyst_5539859,AMZN,Feb 3,5,36,7.2,23.7%,56%
1041,Analyst_5539859,SNAP,Feb 8,5,113,22.6,24.6%,67%
1042,Analyst_5539859,SQ,Mar 2,4,40,10,16.8%,45%
1043,Analyst_5539859,MU,Dec 20,4,14,3.5,4.1%,57%
1044,Analyst_5539859,GOOGL,Feb 2,3,61,20.3,9.0%,57%
1045,Analyst_5539859,DIS,Feb 8,3,29,9.7,4.0%,58%
1046,Analyst_5539859,PLTR,Feb 15,2,10,5,23.5%,49%
1047,Analyst_5539859,ODP,Feb 23,2,10,5,16.0%,45%
1048,Analyst_5539859,VIVO,Jan 26,2,16,8,22.5%,52%
1049,Analyst_5539859,MA,Feb 3,2,8,4,8.4%,30%
1050,Analyst_5539859,ADBE,Dec 16,2,52,26,1.3%,63%
1051,Analyst_5539859,LLNW,Feb 9,2,-24,-12,59.5%,4%
1052,Analyst_5539859,GILD,Feb 8,1,4,4,13.4%,32%
1053,Analyst_5539859,SBUX,Jan 27,1,43,43,0.2%,88%
1054,Analyst_5539859,WFC,Jan 14,1,-8,-8,25.7%,31%
1055,Analyst_5539859,VSTM,Mar 15,1,-16,-16,72.2%,16%
1056,Analyst_5539859,CRM,Mar 1,1,22,22,0.6%,69%
1057,Analyst_5539859,VMW,Feb 24,1,-5,-5,4.5%,47%
1058,Analyst_5539859,T,Jan 26,1,16,16,5.4%,42%
1059,Analyst_5539859,DGII,Feb 3,1,21,21,13.8%,57%
1060,Analyst_5539859,UAA,Feb 15,1,6,6,32.1%,47%
1061,Analyst_5539859,MGNI,Feb 23,1,14,14,17.4%,36%
1062,Analyst_5539859,BAC,Jan 18,1,23,23,1.5%,76%
1063,Analyst_5539859,QNST,Feb 9,1,-9,-9,32.5%,23%
1064,Analyst_5539859,CSCO,Feb 16,1,21,21,1.4%,53%
1065,Analyst_5539859,AAPL,Feb 1,1,24,24,3.5%,64%
1066,dsadhvani,AMZN,Feb 3,13,131,10.1,21.7%,60%
1067,dsadhvani,UNH,Jan 18,12,124,10.3,2.2%,47%
1068,dsadhvani,FB,Feb 2,11,189,17.2,4.9%,62%
1069,dsadhvani,NVDA,Feb 17,10,160,16,11.3%,56%
1070,dsadhvani,MSFT,Jan 27,10,220,22,5.4%,64%
1071,dsadhvani,ADBE,Dec 16,9,217,24.1,2.4%,61%
1072,dsadhvani,GOOGL,Feb 2,9,132,14.7,6.7%,58%
1073,dsadhvani,BAC,Jan 18,6,96,16,4.2%,58%
1074,dsadhvani,AAPL,Feb 1,6,102,17,5.2%,56%
1075,dsadhvani,CRM,Mar 1,6,108,18,9.0%,50%
1076,dsadhvani,DOCU,Mar 17,6,88,14.7,11.6%,48%
1077,dsadhvani,MU,Dec 20,6,151,25.2,3.7%,66%
1078,dsadhvani,JPM,Jan 14,5,45,9,7.1%,51%
1079,dsadhvani,CRWD,Mar 24,5,109,21.8,29.9%,59%
1080,dsadhvani,SBUX,Jan 27,5,-22,-4.4,3.0%,37%
1081,dsadhvani,COST,Dec 9,5,40,8,6.2%,56%
1082,dsadhvani,SQ,Mar 2,5,63,12.6,11.3%,57%
1083,dsadhvani,NFLX,Jan 18,5,-5,-1,10.5%,49%
1084,dsadhvani,AVGO,Dec 9,5,149,29.8,0.9%,70%
1085,dsadhvani,BABA,Feb 2,5,39,7.8,7.5%,56%
1086,dsadhvani,DIS,Feb 8,5,53,10.6,12.2%,59%
1087,dsadhvani,EW,Feb 3,5,8,1.6,6.9%,37%
1088,dsadhvani,ZTS,Feb 17,5,158,31.6,1.4%,77%
1089,dsadhvani,ATVI,Feb 10,4,52,13,7.7%,56%
1090,dsadhvani,ULTA,Mar 10,4,55,13.8,1.4%,63%
1091,dsadhvani,AMD,Feb 1,4,-2,-0.5,21.8%,42%
1092,dsadhvani,LOW,Feb 23,4,18,4.5,4.0%,46%
1093,dsadhvani,LULU,Dec 9,4,71,17.8,2.1%,66%
1094,dsadhvani,INTU,Feb 24,4,33,8.3,13.4%,33%
1095,dsadhvani,SJM,Feb 23,4,32,8,3.4%,51%
1096,Richard Wickstrom,FB,Feb 2,17,348,20.5,4.7%,66%
1097,Richard Wickstrom,GOOGL,Feb 2,16,298,18.6,5.5%,69%
1098,Richard Wickstrom,FSLR,Feb 24,16,227,14.2,37.7%,64%
1099,Richard Wickstrom,AAPL,Feb 1,16,352,22,2.0%,71%
1100,Richard Wickstrom,BAC,Jan 18,15,319,21.3,4.2%,63%
1101,Richard Wickstrom,JPM,Jan 14,15,365,24.3,3.7%,76%
1102,Richard Wickstrom,NVDA,Feb 17,15,342,22.8,7.8%,70%
1103,Richard Wickstrom,JBLU,Jan 27,15,59,3.9,4.3%,56%
1104,Richard Wickstrom,SWKS,Jan 27,15,359,23.9,0.9%,66%
1105,Richard Wickstrom,DIS,Feb 8,15,165,11,4.3%,61%
1106,Richard Wickstrom,TWTR,Feb 10,14,190,13.6,10.4%,63%
1107,Richard Wickstrom,UAL,Jan 18,14,198,14.1,3.9%,69%
1108,Richard Wickstrom,CSCO,Feb 16,14,302,21.6,1.2%,67%
1109,Richard Wickstrom,PYPL,Feb 2,14,342,24.4,1.6%,67%
1110,Richard Wickstrom,V,Feb 3,14,275,19.6,2.6%,65%
1111,Richard Wickstrom,ATVI,Feb 10,14,250,17.9,5.7%,73%
1112,Richard Wickstrom,AMBA,Mar 3,14,380,27.1,9.0%,69%
1113,Richard Wickstrom,MA,Feb 3,14,246,17.6,3.2%,68%
1114,Richard Wickstrom,DDD,Mar 2,13,172,13.2,30.5%,56%
1115,Richard Wickstrom,HPQ,Feb 23,13,251,19.4,3.0%,72%
1116,Richard Wickstrom,EBAY,Feb 2,13,262,20.2,1.3%,66%
1117,Richard Wickstrom,AMZN,Feb 3,13,194,14.9,20.8%,64%
1118,Richard Wickstrom,AMD,Feb 1,13,295,22.7,13.9%,71%
1119,Richard Wickstrom,GS,Jan 18,13,215,16.5,8.6%,71%
1120,Richard Wickstrom,VIAC,Feb 17,13,105,8.1,5.4%,55%
1121,Richard Wickstrom,NWSA,Feb 10,13,75,5.8,21.9%,51%
1122,Richard Wickstrom,FFIV,Jan 26,13,275,21.2,1.9%,65%
1123,Richard Wickstrom,UAA,Feb 15,13,193,14.8,17.8%,60%
1124,Richard Wickstrom,JNJ,Jan 25,13,256,19.7,1.4%,67%
1125,Richard Wickstrom,ANET,Feb 17,13,334,25.7,4.7%,74%
1126,Analyst_1237625,BBY,Mar 2,2,7,3.5,3.6%,40%
1127,Analyst_5834275,DKS,Mar 8,4,37,9.3,7.9%,59%
1128,Analyst_5834275,CPRI,Feb 9,4,41,10.3,7.7%,60%
1129,Analyst_5834275,KMX,Dec 22,4,44,11,3.9%,57%
1130,Analyst_5834275,PLAY,Mar 29,4,46,11.5,7.6%,49%
1131,Analyst_5834275,NVDA,Feb 17,4,57,14.3,7.6%,68%
1132,Analyst_5834275,KSS,Feb 24,4,103,25.8,5.0%,67%
1133,Analyst_5834275,AMAT,Feb 16,4,83,20.8,1.9%,66%
1134,Analyst_5834275,INTC,Jan 26,4,81,20.3,5.8%,64%
1135,Analyst_5834275,PSTG,Mar 3,3,40,13.3,15.9%,61%
1136,Analyst_5834275,EXPR,Mar 9,3,44,14.7,20.8%,57%
1137,Analyst_5834275,SPLK,Mar 3,3,60,20,10.8%,46%
1138,Analyst_5834275,ADBE,Dec 16,3,53,17.7,2.5%,55%
1139,Analyst_5834275,AAPL,Feb 1,3,55,18.3,1.9%,68%
1140,Analyst_5834275,AXON,Mar 1,3,43,14.3,32.8%,46%
1141,Analyst_5834275,LRCX,Jan 26,3,33,11,3.7%,59%
1142,Analyst_5834275,JWN,Mar 3,3,81,27,4.0%,75%
1143,Analyst_5834275,M,Feb 22,3,80,26.7,10.7%,70%
1144,Analyst_5834275,JPM,Jan 14,3,32,10.7,3.5%,63%
1145,Analyst_5834275,DRI,Dec 17,3,42,14,2.3%,60%
1146,Analyst_5834275,TEVA,Feb 10,3,12,4,6.8%,62%
1147,Analyst_5834275,NFLX,Jan 18,3,97,32.3,5.7%,70%
1148,Analyst_5834275,FB,Feb 2,3,43,14.3,7.9%,51%
1149,Analyst_5834275,HD,Feb 22,3,58,19.3,2.1%,65%
1150,Analyst_5834275,WFC,Jan 14,3,76,25.3,1.3%,76%
1151,Analyst_5834275,MU,Dec 20,3,90,30,2.3%,69%
1152,Analyst_5834275,CONN,Mar 29,2,5,2.5,5.2%,55%
1153,Analyst_5834275,GES,Mar 23,2,8,4,7.2%,63%
1154,Analyst_5834275,CVS,Feb 9,2,60,30,1.3%,69%
1155,Analyst_5834275,FL,Feb 25,2,51,25.5,4.2%,69%
1156,Analyst_5834275,WGO,Dec 17,2,57,28.5,6.2%,72%
1157,Analyst_904101,MED,Mar 10,1,4,4,7.3%,15%
1158,Analyst_5597176,MOMO,Mar 15,2,-7,-3.5,6.0%,31%
1159,Analyst_5597176,HPE,Feb 24,2,3,1.5,4.8%,35%
1160,Analyst_5597176,ROKU,Feb 24,2,24,12,8.2%,64%
1161,Analyst_5597176,RTX,Jan 25,2,-3,-1.5,3.9%,18%
1162,Analyst_5597176,TSLA,Feb 2,2,14,7,37.8%,53%
1163,Analyst_5597176,NVDA,Feb 17,2,-12,-6,6.3%,55%
1164,Analyst_5597176,SCVL,Mar 29,1,-6,-6,6.8%,54%
1165,Analyst_5597176,ZUMZ,Mar 10,1,3,3,11.3%,30%
1166,Analyst_5597176,GES,Mar 23,1,24,24,7.1%,54%
1167,Analyst_5597176,DKS,Mar 8,1,4,4,14.9%,24%
1168,Analyst_5597176,JD,Mar 3,1,-4,-4,20.2%,35%
1169,Analyst_5597176,BURL,Mar 3,1,10,10,4.8%,55%
