,Analysts,Ticker,Quarter,Reported,Rank,EPS_Points,Revenue_Points,Total_Points
903,Analyst_4903215,AMAT,Q2 2020,"May 14, 2020",30 / 48,-4,-3,-7
904,Analyst_4903215,LOGI,Q4 2020,"May 12, 2020",3 / 15,21,9,30
905,Analyst_4903215,ETH,Q3 2020,"May 11, 2020",1 / 6,-1,13,12
906,Analyst_4903215,ZG,Q1 2020,"May 7, 2020",37 / 44,-9,-3,-12
907,Analyst_4903215,PLNT,Q1 2020,"May 5, 2020",7 / 16,10,9,19
908,Analyst_4903215,RHI,Q1 2020,"Apr 23, 2020",7 / 10,-3,-3,-6
909,Analyst_4903215,COF,Q1 2020,"Apr 23, 2020",1 / 13,10,24,34
910,Earnings AI,GME,Q4 2019,"Mar 26, 2020",29 / 41,14,-19,-5
911,Earnings AI,QADA,Q4 2020,"Mar 18, 2020",6 / 6,-6,-25,-31
912,Earnings AI,CAL,Q4 2019,"Mar 12, 2020",5 / 6,-4,-5,-9
913,Earnings AI,ZUO,Q4 2020,"Mar 12, 2020",30 / 32,-1,-22,-23
914,Earnings AI,CWEN,Q4 2019,"Feb 27, 2020",1 / 5,15,15,30
915,Earnings AI,BKNG,Q4 2019,"Feb 26, 2020",63 / 74,14,-17,-3
916,Earnings AI,SINA,Q4 2019,"Feb 26, 2020",8 / 9,18,-25,-7
917,Earnings AI,ODP,Q4 2019,"Feb 26, 2020",5 / 6,11,-6,5
918,Earnings AI,DAR,Q4 2019,"Feb 25, 2020",5 / 7,10,-8,2
919,Earnings AI,MTW,Q4 2019,"Feb 6, 2020",9 / 10,-6,-7,-13
920,Earnings AI,EMKR,Q1 2020,"Feb 5, 2020",5 / 10,16,-9,7
921,Earnings AI,MOD,Q3 2020,"Feb 4, 2020",5 / 8,14,-13,1
922,Earnings AI,DIS,Q1 2020,"Feb 4, 2020",175 / 214,-15,18,3
923,Earnings AI,MCK,Q3 2020,"Feb 4, 2020",7 / 7,-5,-3,-8
924,Earnings AI,GME,Q3 2019,"Dec 10, 2019",44 / 50,-5,-6,-11
925,Earnings AI,ZUO,Q3 2020,"Dec 5, 2019",30 / 39,9,-7,2
926,Earnings AI,EMKR,Q4 2019,"Dec 4, 2019",12 / 12,-7,-10,-17
927,Earnings AI,QADA,Q3 2020,"Nov 26, 2019",8 / 9,-6,-12,-18
928,Earnings AI,CAL,Q3 2019,"Nov 25, 2019",9 / 9,-14,-6,-20
929,Earnings AI,SINA,Q3 2019,"Nov 14, 2019",10 / 11,-8,-14,-22
930,Earnings AI,MOD,Q2 2020,"Nov 7, 2019",8 / 9,-7,-13,-20
931,Earnings AI,BKNG,Q3 2019,"Nov 7, 2019",75 / 84,-2,-13,-15
932,Earnings AI,DIS,Q4 2019,"Nov 7, 2019",173 / 195,-13,-7,-20
933,Earnings AI,MTW,Q3 2019,"Nov 7, 2019",7 / 10,7,-3,4
934,Earnings AI,DAR,Q3 2019,"Nov 6, 2019",8 / 8,-25,-7,-32
935,Analyst_3715541,AZO,Q1 2022,"Dec 7, 2021",12 / 16,6,5,11
936,Analyst_3715541,COUP,Q3 2022,"Dec 6, 2021",19 / 30,6,8,14
937,Analyst_3715541,DOCU,Q3 2022,"Dec 2, 2021",34 / 48,-5,16,11
938,Analyst_3715541,ESTC,Q2 2022,"Dec 1, 2021",16 / 21,-4,8,4
939,Analyst_3715541,BURL,Q3 2021,"Nov 23, 2021",7 / 9,-4,10,6
940,Analyst_3715541,BABA,Q2 2022,"Nov 18, 2021",6 / 161,20,-1,19
941,Analyst_3715541,CRMT,Q2 2022,"Nov 17, 2021",7 / 7,0,5,5
942,Analyst_3715541,BIDU,Q3 2021,"Nov 17, 2021",18 / 48,11,19,30
943,Analyst_3715541,LOW,Q3 2021,"Nov 17, 2021",15 / 26,8,8,16
944,Analyst_3715541,TJX,Q3 2022,"Nov 17, 2021",11 / 18,-2,12,10
945,Analyst_3715541,HD,Q3 2021,"Nov 16, 2021",33 / 49,8,9,17
946,Analyst_3715541,AAP,Q3 2021,"Nov 15, 2021",9 / 12,-5,10,5
947,Analyst_3715541,FICO,Q4 2021,"Nov 10, 2021",15 / 16,6,-2,4
948,Analyst_3715541,COIN,Q3 2021,"Nov 9, 2021",6 / 51,22,14,36
949,Analyst_3715541,IFF,Q3 2021,"Nov 8, 2021",7 / 8,-5,7,2
950,Analyst_3715541,NEWR,Q2 2022,"Nov 8, 2021",6 / 8,7,7,14
951,Analyst_3715541,ROKU,Q3 2021,"Nov 3, 2021",57 / 68,-5,-1,-6
952,Analyst_3715541,TEAM,Q1 2022,"Oct 28, 2021",14 / 23,8,8,16
953,Analyst_3715541,AMZN,Q3 2021,"Oct 28, 2021",18 / 210,-2,21,19
954,Analyst_3715541,UPS,Q3 2021,"Oct 26, 2021",23 / 31,-6,9,3
955,Analyst_3715541,LRCX,Q1 2022,"Oct 20, 2021",23 / 45,15,-1,14
956,Analyst_3715541,SPLK,Q2 2022,"Aug 25, 2021",25 / 31,-2,7,5
957,Analyst_3715541,CRM,Q2 2022,"Aug 25, 2021",57 / 86,-5,14,9
958,Analyst_3715541,ULTA,Q2 2021,"Aug 25, 2021",15 / 20,-4,7,3
959,Analyst_3715541,HD,Q2 2021,"Aug 17, 2021",7 / 31,16,17,33
960,Analyst_5929172,STRA,Q4 2018,"Mar 1, 2019",3 / 5,-11,13,2
961,Analyst_5929172,DNR,Q4 2018,"Feb 27, 2019",11 / 33,12,11,23
962,Analyst_5929172,BBY,Q4 2019,"Feb 27, 2019",41 / 51,-4,-2,-6
963,Analyst_5929172,WLL,Q4 2018,"Feb 26, 2019",3 / 21,10,13,23
964,Analyst_5929172,PLNT,Q4 2018,"Feb 26, 2019",11 / 38,-6,22,16
965,Analyst_5929172,WW,Q4 2018,"Feb 26, 2019",32 / 43,-4,12,8
966,Analyst_5929172,PANW,Q2 2019,"Feb 26, 2019",72 / 103,8,8,16
967,Analyst_5929172,M,Q4 2018,"Feb 26, 2019",49 / 52,-13,-5,-18
968,Analyst_5929172,HTZ,Q4 2018,"Feb 25, 2019",8 / 26,12,10,22
969,Analyst_5929172,TTD,Q4 2018,"Feb 21, 2019",12 / 76,12,10,22
970,Analyst_5929172,DXCM,Q4 2018,"Feb 21, 2019",3 / 23,13,20,33
971,Analyst_5929172,NVDA,Q4 2019,"Feb 14, 2019",167 / 458,18,-1,17
972,Analyst_5929172,ANET,Q4 2018,"Feb 14, 2019",78 / 87,-5,-9,-14
973,Ralf Koenigs,HIBB,Q4 2020,"Mar 20, 2020",14 / 18,12,-4,8
974,Ralf Koenigs,WSM,Q4 2019,"Mar 18, 2020",18 / 19,-4,-23,-27
975,Ralf Koenigs,KSS,Q4 2019,"Mar 3, 2020",5 / 26,19,-3,16
976,Ralf Koenigs,M,Q4 2019,"Feb 25, 2020",39 / 48,-7,-2,-9
977,Ralf Koenigs,CIEN,Q4 2019,"Dec 12, 2019",8 / 26,19,-2,17
978,Analyst_783524,NKE,Q3 2021,"Mar 18, 2021",34 / 79,11,-3,8
979,Analyst_783524,WMT,Q3 2021,"Nov 17, 2020",27 / 60,7,16,23
980,Analyst_783524,HD,Q3 2020,"Nov 17, 2020",16 / 47,17,15,32
981,Analyst_783524,DPZ,Q3 2020,"Oct 8, 2020",3 / 49,-3,22,19
982,Analyst_783524,FDX,Q1 2021,"Sep 15, 2020",43 / 45,-5,-4,-9
983,Analyst_783524,LEN,Q3 2020,"Sep 14, 2020",4 / 16,12,16,28
984,Analyst_783524,KR,Q2 2020,"Sep 11, 2020",4 / 20,10,18,28
985,Analyst_783524,PTON,Q4 2020,"Sep 10, 2020",42 / 94,-3,16,13
986,Analyst_783524,VRNT,Q2 2021,"Sep 9, 2020",1 / 6,13,10,23
987,Analyst_783524,RH,Q2 2020,"Sep 9, 2020",1 / 26,20,23,43
988,Analyst_783524,HDS,Q2 2020,"Sep 9, 2020",4 / 8,12,-4,8
989,Analyst_783524,LULU,Q2 2020,"Sep 8, 2020",12 / 104,17,13,30
990,Analyst_783524,HQY,Q2 2021,"Sep 8, 2020",2 / 9,8,16,24
991,Analyst_783524,CASY,Q1 2021,"Sep 8, 2020",10 / 14,-3,-1,-4
992,Analyst_783524,AVGO,Q3 2020,"Sep 3, 2020",9 / 56,14,20,34
993,Analyst_783524,DOCU,Q2 2021,"Sep 3, 2020",55 / 108,9,9,18
994,Analyst_783524,GMS,Q1 2021,"Sep 3, 2020",2 / 4,12,-4,8
995,Analyst_783524,PVH,Q2 2020,"Sep 2, 2020",6 / 10,11,-3,8
996,Analyst_783524,AMBA,Q2 2021,"Sep 2, 2020",14 / 36,13,-2,11
997,Analyst_783524,HRB,Q1 2021,"Sep 1, 2020",5 / 14,15,-1,14
998,Analyst_783524,ZM,Q2 2021,"Aug 31, 2020",27 / 112,10,11,21
999,Analyst_783524,WCN,Q2 2020,"Aug 6, 2020",7 / 10,11,-11,0
1000,Analyst_783524,QSR,Q2 2020,"Aug 6, 2020",6 / 11,-8,21,13
1001,Analyst_783524,MET,Q2 2020,"Aug 5, 2020",4 / 11,-2,-2,-4
1002,Analyst_783524,LHX,Q2 2020,"Jul 31, 2020",22 / 27,7,-5,2
1003,Analyst_8886337,GPS,Q4 2019,"Mar 12, 2020",9 / 12,-3,-4,-7
1004,Buck_138258,SUP,Q4 2020,"Mar 5, 2021",3 / 5,-3,,-3
1005,Buck_138258,THRM,Q4 2020,"Mar 1, 2021",3 / 10,-4,,-4
1006,Buck_138258,AN,Q4 2020,"Feb 16, 2021",7 / 11,-7,,-7
1007,Buck_138258,AXL,Q4 2020,"Feb 12, 2021",4 / 5,14,,14
1008,Buck_138258,PAG,Q4 2020,"Feb 10, 2021",7 / 11,-7,,-7
1009,Buck_138258,GPI,Q4 2020,"Feb 4, 2021",4 / 6,-8,,-8
1010,Buck_138258,APTV,Q4 2020,"Feb 3, 2021",6 / 11,-5,,-5
1011,Buck_138258,LAD,Q4 2020,"Feb 3, 2021",16 / 19,-24,,-24
1012,Buck_138258,ALV,Q4 2020,"Jan 26, 2021",5 / 14,-3,,-3
1013,Buck_138258,SUP,Q3 2020,"Nov 2, 2020",2 / 6,14,,14
1014,Buck_138258,AXL,Q3 2020,"Oct 30, 2020",2 / 5,10,,10
1015,Buck_138258,THRM,Q3 2020,"Oct 29, 2020",3 / 8,12,,12
1016,Buck_138258,GPI,Q3 2020,"Oct 29, 2020",6 / 8,-9,,-9
1017,Buck_138258,APTV,Q3 2020,"Oct 29, 2020",10 / 16,-3,,-3
1018,Buck_138258,ALV,Q3 2020,"Oct 23, 2020",7 / 18,17,,17
1019,Buck_138258,PAG,Q3 2020,"Oct 22, 2020",6 / 12,-3,,-3
1020,Buck_138258,LAD,Q3 2020,"Oct 21, 2020",19 / 25,-8,,-8
1021,Buck_138258,AN,Q3 2020,"Oct 21, 2020",11 / 15,-5,,-5
1022,Buck_138258,SUP,Q2 2020,"Aug 5, 2020",3 / 6,-5,,-5
1023,Buck_138258,THRM,Q2 2020,"Aug 4, 2020",4 / 9,-7,,-7
1024,Buck_138258,AXL,Q2 2020,"Jul 31, 2020",5 / 6,-17,,-17
1025,Buck_138258,GPI,Q2 2020,"Jul 30, 2020",1 / 6,19,,19
1026,Buck_138258,APTV,Q2 2020,"Jul 30, 2020",8 / 11,-12,,-12
1027,Buck_138258,PAG,Q2 2020,"Jul 29, 2020",9 / 9,-8,,-8
1028,Buck_138258,AN,Q2 2020,"Jul 23, 2020",2 / 13,21,,21
1029,Rick Patel,OXM,Q3 2021,"Dec 8, 2021",3 / 5,-9,24,15
1030,Rick Patel,DBI,Q3 2021,"Dec 7, 2021",9 / 9,-25,,-25
1031,Rick Patel,GIII,Q3 2022,"Dec 1, 2021",1 / 6,13,,13
1032,Rick Patel,CAL,Q3 2021,"Nov 18, 2021",5 / 5,-17,-7,-24
1033,Rick Patel,TPR,Q1 2022,"Nov 11, 2021",10 / 10,-8,,-8
1034,Rick Patel,CPRI,Q2 2022,"Nov 3, 2021",17 / 18,-5,,-5
1035,Rick Patel,UAA,Q3 2021,"Nov 2, 2021",26 / 28,-7,,-7
1036,Rick Patel,RL,Q2 2022,"Nov 2, 2021",5 / 8,12,,12
1037,Rick Patel,COLM,Q3 2021,"Oct 28, 2021",13 / 13,-14,,-14
1038,Rick Patel,NKE,Q1 2022,"Sep 23, 2021",7 / 70,20,,20
1039,Rick Patel,LULU,Q2 2021,"Sep 8, 2021",61 / 68,-10,,-10
1040,Rick Patel,OXM,Q2 2021,"Sep 2, 2021",2 / 3,-11,10,-1
1041,Rick Patel,GIII,Q2 2022,"Sep 2, 2021",1 / 3,24,,24
1042,Rick Patel,CAL,Q2 2021,"Aug 31, 2021",4 / 4,-10,-14,-24
1043,Rick Patel,DBI,Q2 2021,"Aug 31, 2021",6 / 6,-25,,-25
1044,Rick Patel,TPR,Q4 2021,"Aug 19, 2021",8 / 9,-16,21,5
1045,Rick Patel,RL,Q1 2022,"Aug 3, 2021",6 / 8,11,,11
